Module,b,IL,I0,Rs,Gp,alphaT,mI0,deltaRs
xSi12922,1.125768113,5.139018399,8.09E-11,0.382682486,0.011757256,0.002391695,0.171551166,0.001073639
xSi11246,1.123014186,5.124096621,8.63E-11,0.491823175,0.020074696,0.002588997,0.199896273,-0.007389107
mSi460A8,1.16036844,5.077123937,5.92E-11,0.38278637,0.006770394,0.00341439,0.354264243,0.003114797
mSi460BB,1.159617082,5.115980552,5.88E-11,0.40975736,0.008607488,0.002844935,0.291858398,0.00198825
mSi0166,1.138604192,2.746625275,3.23E-11,0.448294123,0.004577957,0.001404907,0.253932923,0.003937644
mSi0188,1.140654445,2.757062052,3.08E-11,0.496928563,0.005167783,0.001195578,0.245366372,0.00291922
mSi0247,1.144624915,2.746271431,2.99E-11,0.497393057,0.004601679,0.001265603,0.257366304,0.003216007
mSi0251,1.141461958,2.74635665,3.25E-11,0.526137341,0.004409391,0.001376047,0.241092538,0.003000335
CdTe75638,0.331784888,1.235947807,2.35E-13,15.16698118,0.002145308,0.000292562,0.068183031,-0.004348586
CdTe75669,0.342193211,1.233611237,1.54E-13,15.59803948,0.002238022,0.000324439,0.207233087,-0.003717631
CIGS39017,0.61922682,6.722176728,3.80E-11,1.700192423,0.040012733,-0.000423547,1.203267474,0.003525751
CIGS39013,0.626214486,6.442245663,4.01E-11,1.79541836,0.04425974,-0.000632801,1.500346843,0.002740916
CIGS8-001,0.622124275,2.578032175,8.66E-12,2.267085154,0.008374211,0.000192697,0.741119039,-0.000836998
CIGS1-001,0.607760843,2.529131947,1.59E-11,1.919819716,0.005017925,0.000214619,0.428001088,-0.001859371
HIT05667,0.554513052,5.541505784,4.37E-12,0.609709639,0.002818271,0.001960215,0.1414568,0.002455852
HIT05662,0.555897493,5.597879066,2.65E-12,0.607538863,0.004091106,0.001963519,0.149021308,0.00288836
aSiTandem72-46,0.408604708,1.104372453,2.12E-11,9.638815729,0.003633821,0.000527399,0.296882061,-0.00804311
aSiTandem90-31,0.402894029,1.177229821,2.33E-11,9.21708702,0.00403673,0.000532664,0.252594994,-0.0094008
aSiTriple28324,0.947136979,4.786911682,1.29E-09,1.04480721,0.042366835,0.00253295,0.351575719,-0.00995063
aSiTriple28325,0.962900405,4.616337264,7.37E-10,1.027610623,0.040703549,0.002904826,0.335716831,-0.008507312
